ID VIDEO,EMOZIONE,MEDIA,VARIANZA
000,Happy,2.1,1.29
000,Angry,3.7,2.61
000,Sad,1.7,1.01
000,Neutral,2.1,1.09
001,Happy,2.727272727272727,1.4710743801652895
001,Angry,3.0,2.3636363636363638
001,Sad,2.0,1.6363636363636365
001,Neutral,3.0,1.8181818181818181
002,Happy,2.3333333333333335,1.7222222222222223
002,Angry,3.0833333333333335,1.9097222222222225
002,Sad,1.75,1.0208333333333333
002,Neutral,2.4166666666666665,1.4097222222222223
003,Happy,2.4545454545454546,0.9752066115702479
003,Angry,2.0,0.7272727272727273
003,Sad,2.727272727272727,2.0165289256198347
003,Neutral,3.6363636363636362,1.322314049586777
004,Happy,2.090909090909091,0.9917355371900828
004,Angry,4.181818181818182,0.6942148760330578
004,Sad,1.3636363636363635,0.23140495867768598
004,Neutral,2.0,0.7272727272727273
005,Happy,2.3636363636363638,0.9586776859504131
005,Angry,1.4545454545454546,0.42975206611570244
005,Sad,1.4545454545454546,0.7933884297520662
005,Neutral,4.2727272727272725,0.9256198347107436
006,Happy,3.3636363636363638,0.958677685950413
006,Angry,1.6363636363636365,0.958677685950413
006,Sad,2.0,1.4545454545454546
006,Neutral,3.8181818181818183,1.421487603305785
007,Happy,2.0,0.8
007,Angry,1.3,0.41
007,Sad,2.3,1.01
007,Neutral,4.3,0.8099999999999999
008,Happy,1.8,0.36000000000000004
008,Angry,4.3,0.21000000000000002
008,Sad,1.6,1.04
008,Neutral,2.0,0.8
009,Happy,2.888888888888889,0.9876543209876544
009,Angry,2.5555555555555554,1.1358024691358024
009,Sad,1.7777777777777777,0.6172839506172839
009,Neutral,2.6666666666666665,2.0
010,Happy,3.5,1.05
010,Angry,1.5,1.45
010,Sad,1.5,1.45
010,Neutral,3.9,2.49
011,Happy,1.5,0.65
011,Angry,1.6,0.64
011,Sad,3.6,2.64
011,Neutral,2.8,2.5599999999999996
012,Happy,2.0,0.8
012,Angry,3.8,1.16
012,Sad,1.8,0.76
012,Neutral,2.2,1.7599999999999998
013,Happy,2.4545454545454546,1.702479338842975
013,Angry,2.6363636363636362,1.6859504132231407
013,Sad,1.6363636363636365,0.4132231404958677
013,Neutral,3.1818181818181817,2.148760330578512
014,Happy,2.7,0.8099999999999999
014,Angry,2.6,1.64
014,Sad,2.3,1.21
014,Neutral,4.0,0.8
015,Happy,1.8181818181818181,0.8760330578512395
015,Angry,2.6363636363636362,1.867768595041322
015,Sad,3.8181818181818183,1.6033057851239667
015,Neutral,2.3636363636363638,1.322314049586777
016,Happy,3.727272727272727,0.7438016528925618
016,Angry,2.6363636363636362,2.7768595041322315
016,Sad,1.7272727272727273,1.1074380165289257
016,Neutral,2.5454545454545454,1.1570247933884301
017,Happy,4.636363636363637,0.2314049586776859
017,Angry,1.1818181818181819,0.1487603305785124
017,Sad,1.2727272727272727,0.3801652892561984
017,Neutral,2.1818181818181817,1.2396694214876034
018,Happy,3.2,1.9600000000000002
018,Angry,2.2,1.9600000000000002
018,Sad,1.8,1.3600000000000003
018,Neutral,3.6,2.4400000000000004
019,Happy,3.909090909090909,1.1735537190082643
019,Angry,1.8181818181818181,1.0578512396694215
019,Sad,1.7272727272727273,1.471074380165289
019,Neutral,3.0,2.3636363636363638
020,Happy,2.090909090909091,0.8099173553719008
020,Angry,3.4545454545454546,1.5206611570247934
020,Sad,1.9090909090909092,1.355371900826446
020,Neutral,3.272727272727273,1.1074380165289257
021,Happy,2.6,0.8399999999999999
021,Angry,3.0,1.6
021,Sad,2.1,1.4900000000000002
021,Neutral,3.5,1.25
022,Happy,2.0,0.6
022,Angry,1.8,0.76
022,Sad,3.3,1.41
022,Neutral,3.8,1.1600000000000001
023,Happy,1.5,0.5
023,Angry,1.625,0.484375
023,Sad,4.25,0.4375
023,Neutral,3.0,0.5
024,Happy,4.3,0.8099999999999999
024,Angry,1.7,1.6099999999999999
024,Sad,1.5,0.85
024,Neutral,2.6,1.44
025,Happy,3.5,1.5833333333333333
025,Angry,1.75,1.0208333333333333
025,Sad,1.6666666666666667,0.7222222222222223
025,Neutral,3.5833333333333335,1.5763888888888886
026,Happy,2.7777777777777777,1.9506172839506175
026,Angry,1.8888888888888888,0.9876543209876544
026,Sad,1.5555555555555556,0.46913580246913583
026,Neutral,4.111111111111111,1.2098765432098766
027,Happy,2.8181818181818183,0.8760330578512399
027,Angry,2.1818181818181817,0.8760330578512397
027,Sad,2.4545454545454546,1.1570247933884297
027,Neutral,4.090909090909091,0.8099173553719006
028,Happy,1.6363636363636365,1.5041322314049586
028,Angry,4.363636363636363,1.3223140495867767
028,Sad,1.4545454545454546,0.42975206611570244
028,Neutral,1.4545454545454546,0.6115702479338843
029,Happy,2.8,1.7599999999999998
029,Angry,3.1,2.09
029,Sad,1.9,1.49
029,Neutral,2.1,0.69
030,Happy,2.3636363636363638,0.7768595041322315
030,Angry,1.9090909090909092,1.1735537190082643
030,Sad,1.7272727272727273,0.3801652892561984
030,Neutral,4.0,0.9090909090909091
031,Happy,1.4,0.64
031,Angry,2.0,2.0
031,Sad,4.2,0.5599999999999999
031,Neutral,3.0,1.4
032,Happy,1.8,0.5600000000000002
032,Angry,3.0,1.4
032,Sad,2.4,1.6400000000000001
032,Neutral,3.3,1.21
033,Happy,4.454545454545454,0.24793388429752064
033,Angry,2.0,1.4545454545454546
033,Sad,1.5454545454545454,1.3388429752066116
033,Neutral,2.090909090909091,1.355371900826446
034,Happy,2.3333333333333335,2.4444444444444446
034,Angry,2.3333333333333335,1.333333333333333
034,Sad,3.0,2.0
034,Neutral,3.111111111111111,1.2098765432098766
035,Happy,1.5555555555555556,0.46913580246913583
035,Angry,2.0,0.4444444444444444
035,Sad,4.111111111111111,1.6543209876543208
035,Neutral,2.4444444444444446,1.3580246913580245
036,Happy,1.6363636363636365,0.7768595041322314
036,Angry,2.090909090909091,1.71900826446281
036,Sad,2.727272727272727,1.834710743801653
036,Neutral,2.8181818181818183,0.8760330578512397
037,Happy,1.1818181818181819,0.1487603305785124
037,Angry,1.7272727272727273,0.9256198347107436
037,Sad,4.7272727272727275,0.19834710743801656
037,Neutral,1.4545454545454546,0.42975206611570244
038,Happy,1.8,0.7600000000000001
038,Angry,1.9,0.48999999999999994
038,Sad,4.1,0.69
038,Neutral,3.5,1.25
039,Happy,1.1818181818181819,0.1487603305785124
039,Angry,1.3636363636363635,0.23140495867768598
039,Sad,4.818181818181818,0.14876033057851237
039,Neutral,1.6363636363636365,0.4132231404958677
040,Happy,2.0,0.8888888888888888
040,Angry,2.0,1.1111111111111112
040,Sad,1.6666666666666667,0.4444444444444444
040,Neutral,3.111111111111111,2.0987654320987654
041,Happy,2.272727272727273,0.9256198347107438
041,Angry,2.090909090909091,1.1735537190082643
041,Sad,2.8181818181818183,1.4214876033057848
041,Neutral,3.8181818181818183,1.7851239669421484
042,Happy,1.9090909090909092,0.6280991735537189
042,Angry,2.4545454545454546,1.7024793388429755
042,Sad,2.090909090909091,0.9917355371900826
042,Neutral,4.636363636363637,0.2314049586776859
043,Happy,1.8181818181818181,1.603305785123967
043,Angry,2.5454545454545454,2.429752066115703
043,Sad,3.272727272727273,1.652892561983471
043,Neutral,3.1818181818181817,1.7851239669421484
044,Happy,2.909090909090909,2.6280991735537187
044,Angry,2.6363636363636362,2.2314049586776856
044,Sad,1.8181818181818181,1.0578512396694215
044,Neutral,2.8181818181818183,1.2396694214876034
045,Happy,4.090909090909091,1.1735537190082643
045,Angry,1.4545454545454546,0.793388429752066
045,Sad,1.3636363636363635,1.322314049586777
045,Neutral,2.727272727272727,2.1983471074380168
046,Happy,2.272727272727273,1.1074380165289257
046,Angry,1.3636363636363635,0.23140495867768598
046,Sad,1.7272727272727273,1.2892561983471074
046,Neutral,4.181818181818182,1.0578512396694215
047,Happy,1.9,1.69
047,Angry,1.7,1.01
047,Sad,4.1,0.29
047,Neutral,2.5,1.25
048,Happy,1.875,1.109375
048,Angry,3.625,1.234375
048,Sad,1.75,0.6875
048,Neutral,2.375,1.234375
049,Happy,1.5454545454545454,0.42975206611570244
049,Angry,3.4545454545454546,1.5206611570247934
049,Sad,1.7272727272727273,0.9256198347107436
049,Neutral,2.5454545454545454,1.702479338842975
050,Happy,2.2,0.5599999999999999
050,Angry,2.4,2.04
050,Sad,2.0,1.4
050,Neutral,3.4,1.6400000000000001
051,Happy,1.6666666666666667,1.111111111111111
051,Angry,1.7777777777777777,1.0617283950617284
051,Sad,3.7777777777777777,1.7283950617283952
051,Neutral,2.7777777777777777,2.1728395061728394
052,Happy,2.727272727272727,1.2892561983471074
052,Angry,3.1818181818181817,2.330578512396694
052,Sad,1.4545454545454546,0.42975206611570244
052,Neutral,2.6363636363636362,2.0495867768595044
053,Happy,3.4545454545454546,1.1570247933884297
053,Angry,2.727272727272727,2.743801652892562
053,Sad,1.5454545454545454,0.42975206611570244
053,Neutral,3.1818181818181817,2.148760330578512
054,Happy,2.272727272727273,1.1074380165289257
054,Angry,1.9090909090909092,1.3553719008264462
054,Sad,2.3636363636363638,1.867768595041322
054,Neutral,3.1818181818181817,1.6033057851239667
055,Happy,2.727272727272727,1.471074380165289
055,Angry,2.272727272727273,1.4710743801652895
055,Sad,2.727272727272727,2.0165289256198347
055,Neutral,4.181818181818182,1.0578512396694215
056,Happy,2.3,2.21
056,Angry,1.6,0.44000000000000006
056,Sad,2.6,1.6400000000000001
056,Neutral,4.3,0.61
057,Happy,1.9,0.48999999999999994
057,Angry,2.1,1.0900000000000003
057,Sad,2.8,1.56
057,Neutral,3.5,1.25
058,Happy,1.9090909090909092,1.1735537190082643
058,Angry,2.4545454545454546,1.7024793388429755
058,Sad,3.0,2.0
058,Neutral,3.4545454545454546,1.7024793388429755
059,Happy,1.7,0.8099999999999999
059,Angry,2.1,1.09
059,Sad,3.2,2.76
059,Neutral,4.1,1.0899999999999999
060,Happy,2.6363636363636362,0.9586776859504131
060,Angry,2.5454545454545454,1.884297520661157
060,Sad,2.090909090909091,0.9917355371900826
060,Neutral,3.1818181818181817,2.148760330578512
